formula,defectid,site,Eb_sum,Vr_max,Eg,Ev
Co1O1,0010528,1,6.3023912519392935,-1.2318970816502175,1.2341,4.3434
O3Sr1Ti1,0010541,1,6.611290159509242,-1.9122077365342869,1.9408,5.396
O2Ti1,0010549,1,9.916935239263863,-1.9122077365342869,2.2705,4.9268
Mn1O1,0010576,1,6.3394715728709885,-1.994603679653242,0.8642,4.4297
O2Ti1,0010720,1,9.916935239263863,-1.9122077365342869,1.9186,4.9636
O2Ti1,0010731,1,6.611290159509242,-1.9122077365342869,3.3933,5.9328
Mg1Mn2O4,0011233,1,7.616692432573869,-0.5156224113418986,1.4257,4.1736
Fe2Ni1O4,0011580,1,7.810870794797439,-1.242157708529182,1.2021,3.7345
Fe2Ni1O4,0011580,2,7.810870794797439,-1.242157708529182,1.2021,3.5181
Mn1O2,0011671,1,6.759374010733628,-0.433744681701679,0.1764,2.0859
O2Ti1,0011764,1,9.916935239263863,-1.9122077365342869,2.2989,4.9109
O2Ti1,0011764,2,9.916935239263863,-1.9122077365342869,2.2989,5.3669
Mn2Ni1O4,0011908,1,7.47988757272585,-0.5156224113418986,1.162,3.539
Mn2Ni1O4,0011908,2,7.47988757272585,-0.5156224113418986,1.162,3.5487
Fe2Mg1O4,0011911,1,7.597371453351746,-1.2626789622871115,1.1513,3.8945
Fe2Mg1O4,0011911,2,7.947675654645458,-1.2626789622871115,1.1513,3.772
Mn1Ni1O3,0012011,1,7.6810211461752065,-0.433744681701679,1.5539,2.704
Mn1Ni1O3,0012072,1,7.6810211461752065,-0.433744681701679,1.513,2.8808
Ba1Mn1O2,0012370,1,6.563287837735299,-1.994603679653242,1.7167,5.1318
Al2Ca1O4,0107269,1,8.997992672052156,-2.8945619964631555,4.3548,6.4142
Al2Ca1O4,0107269,2,7.161280213221427,-2.8945619964631555,4.3548,6.185
Al2Ca1O4,0107269,3,7.161280213221427,-2.8945619964631555,4.3548,6.3263
Al2Ca1O4,0107269,4,8.997992672052156,-2.8945619964631555,4.3548,6.2954
Al2Ca1O4,0107269,5,8.997992672052156,-2.8945619964631555,4.3548,6.4336
Al2Ca1O4,0107269,6,7.161280213221427,-2.8945619964631555,4.3548,6.2966
Al2Ca1O4,0107269,7,7.161280213221427,-2.8945619964631555,4.3548,6.2656
Al2Ca1O4,0107269,8,7.161280213221427,-2.8945619964631555,4.3548,6.3068
Al2Ca1O4,0107269,9,7.161280213221427,-2.8945619964631555,4.3548,6.1267
Al2Ca1O4,0107269,10,7.161280213221427,-2.8945619964631555,4.3548,6.3209
Al2Ca1O4,0107269,11,7.161280213221427,-2.8945619964631555,4.3548,6.3739
Al2Ca1O4,0107269,12,7.161280213221427,-2.8945619964631555,4.3548,6.2817
Al4Ca1O7,0107702,1,7.161280213221427,-2.8945619964631555,4.0231,6.2426
Al4Ca1O7,0107702,2,7.161280213221427,-2.8945619964631555,4.0231,6.3909
Al4Ca1O7,0107702,3,7.161280213221427,-2.8945619964631555,4.0231,6.2107
Al4Ca1O7,0107702,4,7.986851631586046,-2.8945619964631555,4.0231,6.7006
Al2Ca2O5,0107847,1,10.834705130882885,-2.8945619964631555,3.5745,6.0239
Al2Ca2O5,0107847,2,8.997992672052156,-2.8945619964631555,3.5745,6.5147
Al2Ca2O5,0107847,3,12.671417589713615,-2.8945619964631555,3.5745,6.6988
Al6Ca5O14,0107855,1,8.997992672052156,-2.8945619964631555,4.2323,6.6404
Al6Ca5O14,0107855,2,7.161280213221427,-2.8945619964631555,4.2323,6.1511
Al6Ca5O14,0107855,3,5.3245677543906975,-2.8945619964631555,4.2323,6.3502
Al6Ca5O14,0107855,4,8.997992672052156,-2.8945619964631555,4.2323,6.5272
Al6Ca5O14,0107855,5,8.997992672052156,-2.8945619964631555,4.2323,6.5428
Al6Ca5O14,0107855,6,8.172421253687537,-2.8945619964631555,4.2323,6.2626
Al6Ca5O14,0107855,7,10.009133712518267,-2.8945619964631555,4.2323,6.1399
Al6Ca5O14,0107855,8,7.161280213221427,-2.8945619964631555,4.2323,6.1143
Al6Ca5O14,0107855,9,8.172421253687537,-2.8945619964631555,4.2323,6.3765
Al2Ba1O4,0108143,1,5.3245677543906975,-2.8945619964631555,4.1114,6.1846
Al2Ba1O4,0108143,2,5.3245677543906975,-2.8945619964631555,4.1114,6.1484
Al2Ba1O4,0108143,3,5.3245677543906975,-2.8945619964631555,4.1114,6.1849
Al2Ba1O4,0108143,4,5.3245677543906975,-2.8945619964631555,4.1114,6.1409
Al2Ba1O4,0108143,5,5.3245677543906975,-2.8945619964631555,4.1114,6.0963
Al2Ba1O4,0108143,6,5.3245677543906975,-2.8945619964631555,4.1114,6.1325
Ba3O9Y4,0108190,1,11.137650333587297,-2.8403280769497066,3.2395,6.3296
Ba3O9Y4,0108190,2,10.767759410606288,-2.8403280769497066,3.2395,6.129
Ba3O9Y4,0108190,3,10.767759410606288,-2.8403280769497066,3.2395,6.1053
Al2O5Ti1,0108321,1,11.93585791389994,-1.9122077365342869,3.0905,5.8592
Al2O5Ti1,0108321,2,8.630212834145318,-1.9122077365342869,3.0905,6.3778
Al2O5Ti1,0108321,3,11.292496711340668,-1.9122077365342869,3.0905,6.4249
Al4O7Sr1,0108427,1,7.06717568576224,-2.8945619964631555,3.7524,6.1601
Al4O7Sr1,0108427,2,5.3245677543906975,-2.8945619964631555,3.7524,6.3726
Al4O7Sr1,0108427,3,7.06717568576224,-2.8945619964631555,3.7524,6.1625
Al4O7Sr1,0108427,4,7.986851631586046,-2.8945619964631555,3.7524,6.7311
Al5O12Y3,0108446,1,11.371890011028288,-2.8945619964631555,4.8435,6.6039
Al1O3Y1,0108689,1,7.986851631586046,-2.8945619964631555,3.3479,3.5762
Al1O3Y1,0108689,2,11.733267262151735,-2.8945619964631555,3.3479,5.1251
Ba1O4Y2,0108927,1,12.46453543625619,-2.8403280769497066,3.4285,6.5688
Ba1O4Y2,0108927,2,12.46453543625619,-2.8403280769497066,3.4285,6.5873
Ba1O4Y2,0108927,3,12.46453543625619,-2.8403280769497066,3.4285,6.6636
Ba1O4Y2,0108927,4,12.46453543625619,-2.8403280769497066,3.4285,6.6262
Al2O4Sr1,0108933,1,8.809783617133782,-2.8945619964631555,4.1372,6.2968
Al2O4Sr1,0108933,2,8.809783617133782,-2.8945619964631555,4.1372,6.2432
Al2O4Sr1,0108933,3,7.06717568576224,-2.8945619964631555,4.1372,6.2372
Al2O4Sr1,0108933,4,8.809783617133782,-2.8945619964631555,4.1372,6.3469
Al2O4Sr1,0108933,5,7.06717568576224,-2.8945619964631555,4.1372,6.263
Al2O4Sr1,0108933,6,7.06717568576224,-2.8945619964631555,4.1372,6.3343
Al2O4Sr1,0108933,7,8.809783617133782,-2.8945619964631555,4.1372,6.2482
Al2O4Sr1,0108933,8,7.06717568576224,-2.8945619964631555,4.1372,6.2083
Al2O9Y4,0109092,1,8.709606133832938,-2.8945619964631555,4.122,6.1713
Al2O9Y4,0109092,2,8.709606133832938,-2.8945619964631555,4.122,6.1876
Al2O9Y4,0109092,3,12.09464451327518,-3.290655589970924,4.122,6.7059
Al2O9Y4,0109092,4,12.09464451327518,-3.290655589970924,4.122,6.7954
Al2O9Y4,0109092,5,11.733267262151735,-2.8945619964631555,4.122,6.3322
Al2O9Y4,0109092,6,11.733267262151735,-2.8945619964631555,4.122,6.1492
Al2O9Y4,0109092,7,11.733267262151735,-2.8945619964631555,4.122,6.1696
Al2O9Y4,0109092,8,11.733267262151735,-2.8945619964631555,4.122,6.2906
Al2O9Y4,0109092,9,11.371890011028288,-2.8945619964631555,4.122,5.7929
Ba1O5Ti2,0109333,1,3.305645079754621,-1.9122077365342869,2.9058,5.5111
Ba1O5Ti2,0109333,2,9.916935239263863,-1.9122077365342869,2.9058,5.4485
Ba1O5Ti2,0109333,3,10.004842210809047,-1.9122077365342869,2.9058,5.8221
Ba1O5Ti2,0109333,4,6.611290159509242,-1.9122077365342869,2.9058,6.0078
Ba1O5Ti2,0109333,5,9.916935239263863,-1.9122077365342869,2.9058,5.5756
Ba4O30Ti13,0109458,1,6.611290159509242,-1.9122077365342869,2.6742,5.8796
Ba4O30Ti13,0109458,2,9.916935239263863,-1.9122077365342869,2.6742,5.5618
Ba4O30Ti13,0109458,3,13.222580319018483,-1.9122077365342869,2.6742,5.454
Ba4O30Ti13,0109458,4,11.613711264913764,-1.9122077365342869,2.6742,5.573
Ba4O30Ti13,0109458,5,6.611290159509242,-1.9122077365342869,2.6742,5.0833
Ba4O30Ti13,0109458,6,6.611290159509242,-1.9122077365342869,2.6742,5.4196
Ba4O30Ti13,0109458,7,11.613711264913764,-1.9122077365342869,2.6742,5.2835
Ba4O30Ti13,0109458,8,6.611290159509242,-1.9122077365342869,2.6742,5.0505
Ba4O30Ti13,0109458,9,9.916935239263863,-1.9122077365342869,2.6742,5.9937
In1O3Y1,0109668,1,10.940673151558505,-1.5993795332042406,2.0438,4.5724
In1O3Y1,0109668,2,10.940673151558505,-1.5993795332042406,2.0438,4.4242
In1O3Y1,0109668,3,8.632730428125155,-1.5993795332042406,2.0438,3.9393
In1O3Y1,0109668,4,8.632730428125155,-1.5993795332042406,2.0438,3.7667
Ba3In2O6,0109684,1,10.526483635803851,-1.5993795332042406,0.8592,3.6078
Ba3In2O6,0109684,2,10.353569894851633,-1.5993795332042406,0.8592,3.9611
Ca3O7Ti2,0109710,1,10.2847150771707,-1.9122077365342869,2.5897,5.5141
Ca3O7Ti2,0109710,2,8.815782456246808,-1.9122077365342869,2.5897,5.7494
Ca3O7Ti2,0109710,3,12.12142753600143,-1.9122077365342869,2.5897,5.7714
Ca3O7Ti2,0109710,4,12.12142753600143,-1.9122077365342869,2.5897,5.9078
Ca1In2O4,0109770,1,7.44578175863709,-1.5993795332042406,2.02,4.4374
In2O5Ti1,0110156,1,7.045024612958862,-1.5993795332042406,1.9703,4.4726
In2O5Ti1,0110156,2,8.914714379560982,-1.5993795332042406,1.9703,4.0504
In2O5Ti1,0110156,3,8.914714379560982,-1.5993795332042406,1.9703,4.1145
In2O5Ti1,0110156,4,7.4787590664084815,-1.5993795332042406,1.9703,3.9906
In2O5Ti1,0110156,5,9.916935239263863,-1.9122077365342869,1.9703,4.7203
Ba2In2O5,0110289,1,10.526483635803851,-1.5993795332042406,0.9164,3.8319
Ba2In2O5,0110289,2,8.829707610153948,-1.5993795332042406,0.9164,3.0675
Ba2In2O5,0110289,3,7.132931584504046,-1.5993795332042406,0.9164,3.5441
In1La1O3,0110733,1,9.629850776479207,-1.5993795332042406,2.647,4.7424
In1La1O3,0110733,2,12.57508639811669,-1.5993795332042406,2.647,4.6469
La2O5Ti1,0110854,1,12.14135194466707,-1.9122077365342869,3.4608,6.2634
La2O5Ti1,0110854,2,9.196116323029587,-1.9122077365342869,3.4608,6.0535
